Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6553630cdb8b6eec94ef754f,5e33f55dcb3c093b7c66ff74,APPROVED,2023-11-14T12:08:40.182000Z,2023-11-14T12:15:13Z,2023-11-15T19:38:48.383000Z,2023-11-14T12:15:13.543006Z,393.0,COQ89QD3,656,43,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65536317da9dbdd7d63c4d2d,5e730527ae0c9c25400e03a5,APPROVED,2023-11-14T12:08:03.532000Z,2023-11-14T12:15:51.429000Z,2023-11-15T19:38:48.589000Z,2023-11-14T12:15:52.014249Z,468.0,COQ89QD3,98,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6553632865c97fc918218cac,6101eeecbfd86b113fe98d3b,APPROVED,2023-11-14T12:08:19.248000Z,2023-11-14T12:24:57.340000Z,2023-11-15T19:38:48.779000Z,2023-11-14T12:24:57.799701Z,999.0,COQ89QD3,485,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6553633e0933df2cbea7da72,5c78f007998fb70001efcb33,APPROVED,2023-11-14T12:08:34.677000Z,2023-11-14T12:16:00.806000Z,2023-11-15T19:38:48.937000Z,2023-11-14T12:16:01.455470Z,447.0,COQ89QD3,1174,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6553633ffd16c0280122e95e,5de39f38a1a3fb39ee68f7ab,APPROVED,2023-11-14T12:09:10.684000Z,2023-11-14T12:15:38.308000Z,2023-11-15T19:38:49.094000Z,2023-11-14T12:15:38.825651Z,388.0,COQ89QD3,1253,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6553637601fb11b712acd0d5,60a272d70db564387c61ede5,APPROVED,2023-11-14T12:09:43.208000Z,2023-11-14T12:16:35.196000Z,2023-11-15T19:38:49.253000Z,2023-11-14T12:16:35.691697Z,412.0,COQ89QD3,1638,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6553640d6b2b44003523df3e,58f368386eec530001c28cd5,APPROVED,2023-11-14T12:13:03.820000Z,2023-11-14T12:21:39.794000Z,2023-11-15T19:38:49.416000Z,2023-11-14T12:21:40.273640Z,516.0,COQ89QD3,942,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6553644d39573ea8c716f62f,5c98c51774cc7f0001e67c8c,APPROVED,2023-11-14T12:13:01.503000Z,2023-11-14T12:30:54.805000Z,2023-11-15T19:38:49.582000Z,2023-11-14T12:30:55.287263Z,1074.0,COQ89QD3,1917,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6553645062712699f02acd4b,586a26807fbbcd00013974f1,APPROVED,2023-11-14T12:13:08.161000Z,2023-11-14T12:19:30.391000Z,2023-11-15T19:38:49.738000Z,2023-11-14T12:19:30.857957Z,383.0,COQ89QD3,821,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65536a27568623b45894f183,5eab2dbd0c7a950efa32c3dc,APPROVED,2023-11-14T12:46:54.120000Z,2023-11-14T12:53:40.414000Z,2023-11-15T19:38:49.899000Z,2023-11-14T12:53:41.439853Z,407.0,COQ89QD3,851,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65535e2152e482c55d1c6dac,654a48a508808ebb99e5a661,RETURNED,2023-11-14T11:46:53.148000Z,,,,,,3,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
