Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
656fa10a592984a7568d4d3a,5a6b4581ab58b500015f33c8,TIMED-OUT,2023-12-05T22:15:46.186000Z,,,,179083.0,,668,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
656fa1145bdb1266fb4f05da,5d5f1c161d7a3e0001d6a151,TIMED-OUT,2023-12-05T22:15:53.301000Z,,,,179076.0,,942,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
656fa121e62c9665bb99675d,63e52208b3208534c48c13ff,RETURNED,2023-12-05T22:16:07.272000Z,,,,,,333,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa1226660e185c0504e9c,5bb6faf4f6d0bd00019e12f4,RETURNED,2023-12-05T22:16:02.809000Z,,,,,,991,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa12d1b51c257c08d709e,5e283f576dbb560114ac7714,RETURNED,2023-12-05T22:16:26.144000Z,,,,,,1339,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa13cce4fa4bde00a45f8,5e10faccfeea897bcd4c4e85,RETURNED,2023-12-05T22:16:28.071000Z,,,,,,987,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa149769109afcaf90c0d,5a2ef9bbfd28e9000102ee68,RETURNED,2023-12-05T22:16:47.180000Z,,,,,,1847,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa149d4c6c32963d23306,642ef01a04c9f327767cde23,TIMED-OUT,2023-12-05T22:17:08.055000Z,,,,179001.0,,597,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
656fa159acc06bb98885ad04,648377e2d90103fb05768d81,RETURNED,2023-12-05T22:17:01.634000Z,,,,,,308,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656fa383575bba3864ed5290,5e238a81a6a740650cbb4c86,RETURNED,2023-12-05T22:26:19.922000Z,,,,,,284,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
